"北京经济技术开发区管理委员会","0 ","0","1 ","5","2 ","243","3 ","98","4 ","4","  ","0"
"北京市安全生产监督管理局","0 ","0","1 ","0","2 ","84","3 ","73","4 ","2","  ","0"
"北京市财政局","0 ","0","1 ","0","2 ","47","3 ","19","4 ","3","  ","0"
"北京市昌平区安全生产监督管理局","0 ","0","1 ","9","2 ","56","3 ","14","4 ","0","  ","0"
"北京市昌平区财政局","0 ","0","1 ","7","2 ","31","3 ","6","4 ","0","  ","0"
"北京市昌平区城市管理综合行政执法监察局","0 ","0","1 ","99","2 ","200","3 ","11","4 ","0","  ","0"
"北京市昌平区档案局","0 ","0","1 ","1","2 ","27","3 ","3","4 ","0","  ","0"
"北京市昌平区地方税务局","0 ","0","1 ","41","2 ","244","3 ","34","4 ","2","  ","0"
"北京市昌平区地震局","0 ","0","1 ","2","2 ","9","3 ","0","4 ","0","  ","0"
"北京市昌平区发展和改革委员会","0 ","0","1 ","17","2 ","56","3 ","20","4 ","2","  ","0"
"北京市昌平区公安消防支队","0 ","0","1 ","1","2 ","34","3 ","3","4 ","0","  ","0"
"北京市昌平区国家保密局","0 ","0","1 ","0","2 ","4","3 ","1","4 ","0","  ","0"
"北京市昌平区环境保护局","0 ","0","1 ","11","2 ","70","3 ","7","4 ","0","  ","0"
"北京市昌平区机构编制委员会办公室","0 ","0","1 ","1","2 ","4","3 ","2","4 ","0","  ","0"
"北京市昌平区交通局","0 ","0","1 ","68","2 ","73","3 ","0","4 ","0","  ","0"
"北京市昌平区教育委员会","0 ","0","1 ","2","2 ","23","3 ","10","4 ","0","  ","0"
"北京市昌平区经济和信息化委员会","0 ","0","1 ","0","2 ","3","3 ","1","4 ","0","  ","0"
"北京市昌平区科学技术委员会","0 ","0","1 ","0","2 ","9","3 ","1","4 ","0","  ","0"
"北京市昌平区旅游发展委员会","0 ","0","1 ","10","2 ","30","3 ","1","4 ","0","  ","0"
"北京市昌平区民防局","0 ","0","1 ","3","2 ","12","3 ","1","4 ","0","  ","0"
"北京市昌平区民政局","0 ","0","1 ","11","2 ","41","3 ","5","4 ","0","  ","0"
"北京市昌平区民族宗教事务办公室","0 ","0","1 ","0","2 ","4","3 ","3","4 ","0","  ","0"
"北京市昌平区农业局","0 ","0","1 ","27","2 ","59","3 ","11","4 ","2","  ","0"
"北京市昌平区气象局","0 ","0","1 ","0","2 ","2","3 ","3","4 ","0","  ","0"
"北京市昌平区人力资源和社会保障局","0 ","0","1 ","8","2 ","77","3 ","18","4 ","0","  ","0"
"北京市昌平区人民政府法制办公室","0 ","0","1 ","0","2 ","8","3 ","3","4 ","0","  ","0"
"北京市昌平区商务委员会","0 ","0","1 ","6","2 ","20","3 ","0","4 ","0","  ","0"
"北京市昌平区审计局","0 ","0","1 ","6","2 ","42","3 ","6","4 ","1","  ","0"
"北京市昌平区食品药品监督管理局","0 ","0","1 ","18","2 ","105","3 ","20","4 ","0","  ","0"
"北京市昌平区市政市容管理委员会","0 ","0","1 ","1","2 ","14","3 ","1","4 ","0","  ","0"
"北京市昌平区水务局","0 ","0","1 ","89","2 ","106","3 ","9","4 ","0","  ","0"
"北京市昌平区司法局","0 ","0","1 ","2","2 ","38","3 ","3","4 ","1","  ","0"
"北京市昌平区体育局","0 ","0","1 ","0","2 ","3","3 ","0","4 ","0","  ","0"
"北京市昌平区统计局","0 ","0","1 ","1","2 ","96","3 ","25","4 ","0","  ","0"
"北京市昌平区卫生和计划生育委员会","0 ","0","1 ","12","2 ","50","3 ","8","4 ","0","  ","0"
"北京市昌平区文化委员会","0 ","0","1 ","2","2 ","8","3 ","2","4 ","0","  ","0"
"北京市昌平区烟草专卖局","0 ","0","1 ","3","2 ","27","3 ","7","4 ","0","  ","0"
"北京市昌平区园林绿化局","0 ","0","1 ","21","2 ","16","3 ","2","4 ","0","  ","0"
"北京市昌平区知识产权局","0 ","0","1 ","1","2 ","0","3 ","0","4 ","0","  ","0"
"北京市昌平区质量技术监督局","0 ","0","1 ","9","2 ","28","3 ","6","4 ","0","  ","0"
"北京市昌平区住房和城乡建设委员会","0 ","0","1 ","25","2 ","170","3 ","20","4 ","1","  ","0"
"北京市朝阳区安全生产监督管理局","0 ","0","1 ","2","2 ","107","3 ","30","4 ","0","  ","0"
